assay_id	extract_id	plate_id	plate_cell	assay_input_ml	assay_type	accepted_droplets	subject_1	subject_1_category	subject_1_target	subject_1_target_macromolecule	subject_1_fluorophore	subject_1_calculated_copies_per_reaction	subject_1_copies_per_reaction	subject_1_result	subject_2	subject_2_category	subject_2_target	subject_2_target_macromolecule	subject_2_fluorophore	subject_2_calculated_copies_per_reaction	subject_2_copies_per_reaction	subject_2_result	subject_3	subject_3_category	subject_3_target	subject_3_target_macromolecule	subject_3_fluorophore	subject_3_copies_per_reaction	subject_3_result	subject_4	subject_4_category	subject_4_target	subject_4_target_macromolecule	subject_4_fluorophore	subject_4_copies_per_reaction	subject_4_result	notes
E01-0091.a1	E01-0091.e1	AP66	B05	0.005	Direct Quantification	16027	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
E01-0092.a1	E01-0092.e1	AP66	B06	0.005	Direct Quantification	15777	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	22.38125563	39866.61159	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	7.458053231	13284.65732								Human	Internal Control	Human RNase P	RNA	HEX	7.458053231	13284.65732	
E01-0093.a1	E01-0093.e1	AP66	B07	0.005	Direct Quantification	15979	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	29.46886539	52491.41648	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	32.41778374	57744.17728								Human	Internal Control	Human RNase P	RNA	HEX	10.30990481	18364.51795	
S01-0041.a1	S01-0041.e1	AP66	B08	0.005	Direct Quantification	16989	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	1.385020018	2467.066906	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	2.770121396	4934.278736								Human	Internal Control	Human RNase P	RNA	HEX	1.385020018	2467.066906	
S01-0040.a1	S01-0040.e1	AP66	C01	0.005	Direct Quantification	14338	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	4.923672676	8770.291954	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	3.282334208	5846.657809								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
S01-0039.a1	S01-0039.e1	AP66	C02	0.005	Direct Quantification	15602	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	1.508150548	2686.393163	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	1.508150548	2686.393163								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
S01-0038.a1	S01-0038.e1	AP66	C03	0.005	Direct Quantification	16001	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	17.65257597	31443.65095	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	14.70956087	26201.4053								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
S01-0037.a1	S01-0037.e1	AP66	C04	0.005	Direct Quantification	14492	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	6.495351791	11569.84538	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
S01-0036.a1	S01-0036.e1	AP66	C05	0.005	Direct Quantification	14836	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	1.586020738	2825.099439	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	1.586020738	2825.099439								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
G01-0123.a1	G01-0123.e1	AP66	C06	0.005	Direct Quantification	14703	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	4.801430702	8552.548438								Human	Internal Control	Human RNase P	RNA	HEX	1.600368023	2850.655541	
G01-0124.a1	G01-0124.e1	AP66	C07	0.005	Direct Quantification	15531	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	1.515045315	2698.674467								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
G01-0125.a1	G01-0125.e1	AP66	C08	0.005	Direct Quantification	14779	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	3.184383512	5672.18313								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
G01-0117.a1	G01-0117.e1	AP66	D01	0.005	Direct Quantification	14153	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
G01-0112.a1	G01-0112.e1	AP66	D02	0.005	Direct Quantification	14172	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
P01-0065.a1	P01-0065.e1	AP66	D03	0.005	Direct Quantification	14681	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
P01-0055.a1	P01-0055.e1	AP66	D04	0.005	Direct Quantification	15712	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	4.493061006	8003.264917	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	4.493061006	8003.264917								Human	Internal Control	Human RNase P	RNA	HEX	2.995278537	5335.339895	
P01-0060.a1	P01-0060.e1	AP66	D05	0.005	Direct Quantification	13587	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	3.463773131	6169.84589	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	1.731822938	3084.809608								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
P01-0059.a1	P01-0059.e1	AP66	D06	0.005	Direct Quantification	11494	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	2.047192901	3646.562356	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	0	0	
P01-0054.a1	P01-0054.e1	AP66	D07	0.005	Direct Quantification	14671	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	1.603858918	2856.873698	
A02-0457.a1	A02-0457.e1	AP66	D08	0.005	Direct Quantification	14634	SARS-CoV-2	Pathogen	SARS-CoV-2 N1	RNA	FAM	0	0	0	SARS-CoV-2	Pathogen	SARS-CoV-2 N2	RNA	FAM/HEX	0	0	0								Human	Internal Control	Human RNase P	RNA	HEX	8.040670156	14322.44372	
