concentration_plate_id	concentration_date	concentration_input_ml	concentration_output_ml	concentration_method	concentration_method_lot_id	concentration_machine	concentration_run_by	concentration_plate_comments
CP98	3/16/22	10	0.475	Ceres Nanotrap	NT04473	Kookaburra	AJ	
CP99	3/21/22	10	0.475	Ceres Nanotrap	NT04473	Halcyon	AJ	
PE1	11/9/20	100	4	PEG Precipitation		Sorvall	MS	
PE10	11/13/20	100	4	PEG Precipitation		Sorvall	MS	
PE100	4/9/21	100	5	PEG Precipitation		Sorvall	MVS	
PE101	4/9/21	100	5	PEG Precipitation		Sorvall	MVS	
PE102	4/9/21	100	5	PEG Precipitation		Sorvall	MVS	
PE103	4/9/21	100	5	PEG Precipitation		Sorvall	MVS	
PE104	4/16/21	100	5	PEG Precipitation		Sorvall	JL	
PE105	4/16/21	100	6	PEG Precipitation		Sorvall	JL	
PE106	4/16/21	100	4	PEG Precipitation		Sorvall	JL	
PE107	4/16/21	100	4	PEG Precipitation		Sorvall	JL	
PE108	4/16/21	100	8	PEG Precipitation		Sorvall	JL	
PE109	4/23/21	100	7	PEG Precipitation		Sorvall	MVS	
PE11	11/16/20	100	4.2	PEG Precipitation		Sorvall	MS	
PE110	4/23/21	100	5	PEG Precipitation		Sorvall	MVS	
PE111	4/23/21	100	4	PEG Precipitation		Sorvall	MVS	
PE112	4/23/21	100	7	PEG Precipitation		Sorvall	MVS	
PE113	4/23/21	100	7	PEG Precipitation		Sorvall	MVS	
PE114	4/30/21	100	2	PEG Precipitation		Sorvall	KED	
PE115	4/30/21	100	3	PEG Precipitation		Sorvall	KED	
PE116	4/30/21	100	3	PEG Precipitation		Sorvall	KED	
PE117	4/30/21	100	5	PEG Precipitation		Sorvall	KED	
PE118	4/30/21	100	7.5	PEG Precipitation		Sorvall	KED	
PE119	5/7/21	100	5	PEG Precipitation		Sorvall		
PE12	11/16/20	100	4	PEG Precipitation		Sorvall	MS	
PE120	5/7/21	100	5	PEG Precipitation		Sorvall		
PE121	5/7/21	100	5	PEG Precipitation		Sorvall		
PE122	5/7/21	100	5	PEG Precipitation		Sorvall		
PE123	5/7/21	100	5	PEG Precipitation		Sorvall		
PE124	5/14/21	100	7	PEG Precipitation		Sorvall	MVS	
PE125	5/14/21	100	4	PEG Precipitation		Sorvall	MVS	
PE126	5/18/21	100	4.5	PEG Precipitation		Sorvall	KD	
PE127	2/13/21	100	6	PEG Precipitation		Sorvall	TD	
PE128	2/13/21	100	4	PEG Precipitation		Sorvall	TD	
PE129	2/13/21	100	8	PEG Precipitation		Sorvall	TD	
PE13	11/19/20	100	4	PEG Precipitation		Sorvall	MS	
PE130	2/13/21	100	6	PEG Precipitation		Sorvall	TD	
PE131	2/13/21	100	5	PEG Precipitation		Sorvall	TD	
PE132	2/13/21	100	6	PEG Precipitation		Sorvall	TD	
PE133	2/13/21	100	4	PEG Precipitation		Sorvall	TD	
PE134	2/13/21	100	3	PEG Precipitation		Sorvall	TD	
PE135	2/13/21	100	4	PEG Precipitation		Sorvall	TD	
PE136	2/13/21	100	3	PEG Precipitation		Sorvall	TD	
PE137	2/13/21	100	5	PEG Precipitation		Sorvall	TD	
PE14	11/19/20	100	3.6	PEG Precipitation		Sorvall	MS	
PE15	12/4/20	100	3.6	PEG Precipitation		Sorvall	MS	
PE16	12/4/20	100	3.8	PEG Precipitation		Sorvall	MS	
PE17	12/4/20	100	3	PEG Precipitation		Sorvall	MS	
PE18	12/4/20	100	4.8	PEG Precipitation		Sorvall	MS	
PE19	12/4/20	100	4.2	PEG Precipitation		Sorvall	MS	
PE2	11/9/20	100	4.2	PEG Precipitation		Sorvall	MS	
PE20	12/4/20	100	3.8	PEG Precipitation		Sorvall	MS	
PE21	12/4/20	100	4.4	PEG Precipitation		Sorvall	MS	
PE22	12/4/20	100	4.8	PEG Precipitation		Sorvall	MS	
PE23	12/4/20	100	3.4	PEG Precipitation		Sorvall	MS	
PE24	12/4/20	100	3.8	PEG Precipitation		Sorvall	MS	
PE25	12/7/20	100	4	PEG Precipitation		Sorvall	MS	
PE26	12/7/20	100	3.2	PEG Precipitation		Sorvall	MS	
PE27	12/13/20	100	5	PEG Precipitation		Sorvall	MS	
PE28	12/13/20	100	3.8	PEG Precipitation		Sorvall	MS	
PE29	12/13/20	100	4	PEG Precipitation		Sorvall	MS	
PE3	11/9/20	100	3.4	PEG Precipitation		Sorvall	MS	
PE30	12/13/20	100	3.6	PEG Precipitation		Sorvall	AT	
PE31	12/14/20	100	3.8	PEG Precipitation		Sorvall	AT	
PE32	12/14/20	100	4.2	PEG Precipitation		Sorvall	AT	
PE33	12/14/20	100	4	PEG Precipitation		Sorvall	AT	
PE34	12/14/20	100	4	PEG Precipitation		Sorvall	AT	
PE35	12/14/20	100	4.2	PEG Precipitation		Sorvall	AT	
