assay_plate_id	assay_date	assay_amplification_method	assay_amplification_method_lot_id	assay_quantification_method	assay_method	assay_method_lot_id	assay_machine	assay_run_by	assay_plate_comment
AP84	5/24/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP85	5/26/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP0.6	6/1/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 N1, N2, BRSV Triplex (dEXD41434415)		ZPM Lab QX200	JL	
AP87	6/2/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP88	6/6/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP89	6/9/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP90	6/13/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP91	6/15/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP92	6/20/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP93	6/23/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP94	6/28/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP95	6/30/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP96	7/5/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP97	7/7/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	XXXXXX	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP98	7/11/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
AP99	7/14/22	Bio-Rad OneStep RT-ddPCR Advanced Kit for Probes	58477041	ddPCR	SARS-CoV-2 ddPCR Triplex (dEXD28563542)		ZPM Lab QX200	JL	
