extraction_batch_id	extraction_date	extraction_input_ul	extraction_eluant	extraction_machine	extraction_method	extraction_method_lot_id	extraction_output_ul	extraction_batch_record_version	extraction_run_by	extraction_batch_comment
EP76	2/14/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP78	2/15/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP79	2/16/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP8	9/3/21	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	1.0.0	JL	
EP81	2/18/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP82	2/21/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP84	2/23/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	1.0.0	AJ	
EP85	2/25/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110285	75	1.0.0	JL	
EP86	2/28/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110285	75	1.0.0	AJ	
EP88	3/2/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP9	9/8/21	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	1.0.0	JL	
EP90	3/4/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110285	75	1.0.0	AJ	
EP92	3/9/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP93	3/10/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP95	3/11/22	400	Kit buffer	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP96	3/15/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
EP98	3/16/22	400	Kit buffer	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	1.0.0	AJ	
ME1	11/10/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME10	11/17/20	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MS	
ME100	3/29/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MVS	
ME101	3/29/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MVS	
ME102	3/29/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MVS	
ME103	3/29/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MVS	
ME104	3/29/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MVS	
ME105	4/12/21	200	Kit buffer	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	1.0.0	MVS	
