assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
P01-0001.a3	P01-0001	02/25/2022 9:43	02/26/2022 9:43	Routine Surveillance	0.479	Pass	StMarysWWTP-01	Human	RNase P	ZooWVU	5894.763264375	5894.763264375	203.82998839471	10688.4518923183	369.586856580855	100	NA	NA	Missing controls: HEX
O01-0368.a2	O01-0368	06/09/2023 6:00	06/10/2023 6:00	Routine Surveillance	0.77	Pass	GraftonWWTP-01	SARS-CoV-2	N2	ZooWVU	2584	2584	42.5630044473728	7531.7545688	124.06118545215	100	5.94997406	771.8346404	yes
A02-0953.a3	A02-0953	01/16/2023 9:00	01/18/2023 9:00	Routine Surveillance		Pass	OaklandE-02	Human	RNase P	ZooWVU	14311.072828125	7155.5364140625	830.108632721868	NA	NA	100	NA	NA	Missing controls: HEX
J01-0142.a3	J01-0142	09/27/2022 7:30	09/28/2022 7:30	Routine Surveillance	0.056	Pass	AlpineLakeWWTP-01	Human	RNase P	ZooWVU	8931.411403125	8931.411403125	1275.91591473214	1893.30702621219	270.472432316027	100	NA	NA	Missing controls: HEX
C01-0317.a2	C01-0317	11/29/2022 7:00	11/30/2022 7:00	Routine Surveillance	8.009	Pass	WheelingWWTP-01	SARS-CoV-2	N2	ZooWVU	805277.9673375	805277.9673375	1610.555934675	24413892.9281454	48827.7858562908	100	0	953.3127592	yes
A04-0461.a2	A04-0461	07/12/2023 8:00	07/13/2023 8:00	Routine Surveillance	0.532	Pass	CheatLakeWWTP-01	SARS-CoV-2	N2	ZooWVU	955	955	47.75	1923.2154046	96.16077023	100	0	0	yes
B01-0214.a1	B01-0214	09/15/2022 7:00	09/16/2022 7:00	Routine Surveillance	6.55	Pass	CharlestonWWTP-01	SARS-CoV-2	N1	ZooWVU	1892700.4334625	1892700.4334625	3785.400866925	46928438.818308	93856.877636616	100	0	946.3919068	yes
H01-0241.a1	H01-0241	06/09/2022 8:00	06/10/2022 8:00	Routine Surveillance	2.1	Pass	MoundsvilleWWTP-01	SARS-CoV-2	N1	ZooWVU	46619.068550625	46619.068550625	388.492237921875	370591.805392665	3088.26504493887	100	0	2358.266448	yes
N02-0177.a3	N02-0177	10/13/2022 7:00	10/14/2022 7:00	Routine Surveillance	5.798	Pass	ClarksburgWWTP-01	Human	RNase P	ZooWVU	8447.18511	8447.18511	31.8785761566911	185397.190008047	699.664842660001	100	NA	NA	Missing controls: HEX
A01-0137.a3	A01-0137	12/28/2021 0:00	12/28/2021 0:00	Routine Surveillance	10.3	Pass	StarCityWWTP-01	Human	RNase P	ZooWVU	8045.257055625	8045.257055625	16.6471963574429	313682.344062614	649.069574703307	100	NA	NA	Missing controls: HEX
