archive_batch_id	archive_batch_comment	archive_batch_record_version	archive_date	archive_eluant	archive_input_ml	archive_machine	archive_method	archive_method_lot_id	archive_output_ml	archive_run_by
L01-0308.RB6248		1.0		Zymo DNA/RNA Shield						
M03-0183.RB6786		1.0		Zymo DNA/RNA Shield						
M03-0016.RB4363		1.0		Zymo DNA/RNA Shield						
A01-0360.RB1285		1.0		Zymo DNA/RNA Shield						
E02-0108.RB5805		1.0		Zymo DNA/RNA Shield						
K01-0059.RB2876		1.0		Zymo DNA/RNA Shield						
N03-0122.RB1795		1.0		Zymo DNA/RNA Shield						
E02-0157.RB3305		1.0		Zymo DNA/RNA Shield						
A04-0238.RB961		1.0		Zymo DNA/RNA Shield						
E02-0143.RB5605		1.0		Zymo DNA/RNA Shield						
C01-0301.RB5966		1.0		Zymo DNA/RNA Shield						
L01-0217.RB3531		1.0		Zymo DNA/RNA Shield						
M04-0176.RB4787		1.0		Zymo DNA/RNA Shield						
E01-0053.RB4328		1.0		Zymo DNA/RNA Shield						
A02-0252.RB3694		1.0		Zymo DNA/RNA Shield						
R02-0084.RB6601		1.0		Zymo DNA/RNA Shield						
H01-0311.RB7535		1.0		Zymo DNA/RNA Shield						
A04-0185.RB888		1.0		Zymo DNA/RNA Shield						
Q01-0117.RB5643		1.0		Zymo DNA/RNA Shield						
A01-0348.RB3216		1.0		Zymo DNA/RNA Shield						
A02-0021.RB1723		1.0		Zymo DNA/RNA Shield						
H01-0223.RB815		1.0		Zymo DNA/RNA Shield						
A03-0194.RB2208		1.0		Zymo DNA/RNA Shield						
