concentration_id	concentration_batch_id	concentration_comment	concentration_location_in_batch	sample_id
A03-0258.c1875	CP91		B01	
A02-0561.c6109	CP228		A05	
M03-0082.c6555	CP162		B01	
M03-0150.c4572	CP241		C03	
A02-1089.c7107	CP353		D06	
H01-0446.c4251	CP311		C04	
J01-0123.c3118	CP233		B05	
O01-0118.c1447	CP207		B01	
L01-0222.c7215	CP213		C02	
J01-0210.c3698	CP321		D06	
R02-0101.c3796	CP202		B02	
A0236.c65	CS13			
R02-0217.c2554	CP316		C01	
R02-0133.c320	CP246		A02	
D01-0195.c5411	CP277		D02	
R01-0164.c1468	CP290		B03	
A01-0365.c3277	CP239		D04	
E01-0118.c2398	CP160		D01	
P01-0034.c5861	CP110		C03	
A03-0058.c3124	CP33		C01	
A02-0685.c1902	CP254		C02	
H01-0414.c5903	CP295		B05	
A03-0123.c4964	CP78		D05	
C01-0232.c5370	CP207		D02	
A02-0301.c2423	CP64		A01	
H01-0159.c3717	CP10		A06	
A03-0227.c2821	CP91		B04	
M03-0044.c6486	CP151		D02	
O01-0164.c543	CP236		A06	
H01-0364.c1156	CP255		C02	
A02-0827.c4384	CP266		B02	
A03-0293.c3012	CP111		D01	
O01-0038.c2035	CP94		A05	
A02-0372.c7520	CP101		A01	
H01-0529.c5961	CP373		A06	
D01-0025.c1382	CP111		C02	
E02-0185.c1776	CP221		D05	
M03-0171.c3544	CP297		A02	
A02-0041.c3419	CP4		B01	
G01-0067.c1976	CP33		A02	
A02-0771.c1616	CP282		A03	
J01-0049.c6833	CP145		D05	
N03-0017.c3267	CP119		D01	
C01-0090.c3075	CP91		D06	
D01-0056.c5151	CP87		A05	
A02-0869.c4063	CP284		B06	
A03-0180.c1297	CP64		C02	
K01-0041.c7472	CP92		C02	
A01-0026.c5757	CP7		C06	
L01-0338.c5608	CP348		A04	
S01-0049.c1344	CP98		B04	
P01-0047.c7488	CP110		C02	
A01-0443.c393	CP308		A04	
G02-0022.c7661	CP47		C03	
A01-0216.c4609	CP112		B03	
C01-0220.c3166	CP185		D06	
G01-0041.c156	CP67		C06	
A02-0621.c4487	CP243		A03	
Q01-0188.c1400	CP295		A05	
C01-0319.c914	CP296		D02	
O01-0049.c2538	CP87		D05	
L01-0344.c472	CP338		B01	
E02-0021.c1153	CP51		A04	
P01-0031.c2992	CP92		A04	
A04-0016.c4948	CP80		D06	
B01-0190.c2500	CP185		A04	
F01-0019.c5611	CP33		B02	
P01-0019.c6675	CP70		B04	
H01-0450.c165	CP314		B05	
T01-0096.c1613	CP332		A03	
G01-0190.c1973	CP182		A03	
A02-1027.c3971	CP338		D01	
A02-0137.c1007	CP81		A03	
B01-0335.c4099	CP307		A01	
A04-0325.c3498	CP342		D03	
A03-0145.c1169	CP48		C05	
A03-0322.c1773	CP125		B02	
A04-0135.c5589	CP211		D02	
Q01-0176.c6836	CP287		C02	
C01-0038.c6880	CP40		C03	
G01-0240.c6077	CP197		B02	
A02-0317.c7079	CP68		B05	
G01-0036.c2264	CP63		A06	
A04-0034.c17	CP10		C03	
H01-0285.c6270	CP194		C03	
B01-0379.c3163	CP336		C04	
T01-0010.c2626	CP217		A01	
A01-0006.c424	CP7		A01	
E01-0129.c5077	CP179		B06	
A02-0907.c7403	CP304		A05	
A02-0877.c803	CP294		B01	
E01-0085.c5208	CP110		B02	
B01-0405.c3634	CP339		B06	
B01-0232.c2374	CP210		B05	
A02-0656.c5872	CP245		B06	
Q01-0285.c4066	CP356		D06	
C01-0085.c3516	CP87		D01	
R02-0120.c1055	CP190		C02	
A02-1020.c2987	CP337		B03	
A02-0512.c2648	CP223		B03	
A02-0383.c3861	CP91		A02	
H01-0237.c6370	CP166		A06	
H01-0162.c60	CP105		B01	
A01-0277.c5815	CP172		A01	
A02-1067.c7606	CP349		A04	
H01-0079.c6098	CP44		B01	
R01-0103.c1811	CP247		C03	
D01-0181.c1567	CP283		C03	
D01-0061.c3903	CP113		C06	
L01-0357.c3756	CP359		A01	
A04-0318.c2149	CP344		B04	
K01-0058.c4923	CP118		C06	
H01-0126.c1481	CP82		B06	
M04-0149.c6686	CP279		D02	
A03-0231.c4291	CP105		D05	
C01-0003.c3505	CP13		B03	
H01-0245.c4561	CP161		D02	
R01-0223.c2952	CP329		B03	
S01-0023.c3083	CP147		B03	
A02-0713.c4874	CP263		A06	
J01-0006.c6540	CP57		D02	
Q01-0298.c7017	CP367		A06	
A01-0207.c4001	CP106		A03	
H01-0167.c4651	CP111		A01	
A02-0312.c3477	CP67		D04	
L01-0076.c3513	CP123		A05	
A01-0128.c2337	CP52		A05	
E01-0008.c2623	CP39		C03	
A02-0304.c7406	CP64		A04	
K01-0040.c3199	CP62		C03	
R02-0196.c1985	CP316		B03	
L01-0141.c6507	CP172		B04	
C01-0259.c648	CP236		A01	
Q01-0270.c2070	CP345		B02	
A03-0091.c1193	CP85		C01	
C01-0244.c702	CP217		C02	
E01-0095.c7552	CP125		D01	
L01-0107.c1316	CP146		C06	
M03-0160.c602	CP302		D04	
C01-0374.c1257	CP363		D04	
A03-0198.c383	CP71		A06	
E02-0005.c1808	CP37		B01	
C01-0209.c1397	CP176		A04	
E01-0222.c6151	CP326		C02	
H01-0196.c3086	CP126		A04	
A02-0020.c5034	CP0.4		B01	
N03-0030.c1313	CP80		B04	
L01-0290.c5888	CP297		B01	
K01-0156.c1282	CP278		A06	
A02-1090.c1668	CP356		A03	
M04-0090.c3906	CP196		A06	
M03-0121.c7603	CP218		A05	
R02-0085.c5211	CP245		C06	
D01-0068.c3030	CP108		D02	
S01-0042.c6683	CP107		C05	
S01-0051.c4209	CP193		C05	
G01-0197.c4926	CP188		D01	
B01-0002.c3753	CP16		B02	
E02-0115.c1785	CP132		B02	
A01-0340.c770	CP222		D02	
A02-0913.c2448	CP304		B04	
T01-0088.c1205	CP323		C01	
A04-0230.c3367	CP301		B05	
P01-0015.c527	CP70		B03	
A04-0085.c6411	CP156		D01	
H01-0470.c3677	CP324		A06	
L01-0224.c5019	CP218		B05	
A02-0270.c3658	CP51		B03	
A04-0237.c4108	CP308		B06	
E02-0192.c2529	CP229		A04	
H01-0439.c6611	CP309		D04	
M04-0053.c5283	CP145		A02	
E02-0148.c2133	CP175		C04	
B01-0075.c70	CP39		D03	
L01-0336.c7672	CP348		A03	
N03-0078.c3581	CP159		C04	
Q01-0079.c4492	CP197		C06	
B01-0136.c4506	CP117		C02	
N03-0207.c7688	CP292		C06	
