concentration_batch_id	concentration_batch_comment	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
CP191		1.0	7/20/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CS5		1.0	12/7/20	100		PEG Precipitation		3.2	MS
CP159		1.0	6/2/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP28		1.0	10/25/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
CP17		1.0	9/27/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
CP0.06	pH - 7.03	1.0	5/28/21	10		Ceres Nanotrap		0.95	
CP83		1.0	2/23/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP164		1.0	6/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP107		1.0	3/30/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP0.05	pH: 6.74	1.0	5/21/21	10		Ceres Nanotrap		0.95	
CP283		1.0	11/15/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP198		1.0	7/28/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP225		1.0	8/31/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP299		1.0	12/12/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP5		1.0	8/27/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
CP232		1.0	9/13/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP33		1.0	11/5/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL
CP251		1.0	10/4/22	10	Halcyon	Ceres Nanotrap	NT0445	0.475	AJ
CP145		1.0	5/18/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP162		1.0	6/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP173		1.0	6/22/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP41		1.0	11/30/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP52		1.0	12/21/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CS17		1.0	4/9/21	100		PEG Precipitation		5	MVS
CP203		1.0	8/3/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP0.3		1.0	8/18/21	10	Kookaburra	Ceres Nanotrap	NT04155	0.425	JL
CP304		1.0	12/19/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP141		1.0	5/11/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP187		1.0	7/13/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CS20		1.0	4/30/21	100		PEG Precipitation		3	KED
CP55		1.0	1/4/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP81		1.0	2/18/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CS7		1.0	12/14/20	100		PEG Precipitation		3.8	AT
CP313		1.0	1/4/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP214		1.0	8/17/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP346		1.0	2/20/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP277		1.0	11/9/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP221		1.0	8/26/22	10	Halcyon	Ceres Nanotrap	NT04473	0.53	AJ
CP255		1.0	10/7/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP111		1.0	4/4/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP0.6	pH -  6.58	1.0	6/4/21	10		Ceres Nanotrap		0.95	
CP84		1.0	2/23/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP206		1.0	8/8/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP124		1.0	8/5/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP244		1.0	9/26/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP360		1.0	3/8/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP343		1.0	2/15/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP357		1.0	3/6/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP98		1.0	3/16/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP316		1.0	1/11/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP169		1.0	6/17/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP76		1.0	2/14/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP371		1.0	3/23/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP327		1.0	1/25/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	JL
CP286		1.0	11/18/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP268		1.0	10/26/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP115		1.0	4/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP138		1.0	5/6/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP176		1.0	6/29/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP154		1.0	5/27/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP90		1.0	3/4/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP39		1.0	11/22/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP239		1.0	9/21/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP292		1.0	11/30/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP44		1.0	12/6/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP336		1.0	2/6/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP261		1.0	10/17/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
