assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated	z	is.outlier	is.extreme
C01-0566.a1	C01-0566	12/25/2023 07:00 AM	12/26/2023 07:00 AM	Routine Surveillance	6.019	Pass	WheelingWWTP-01	Human Norovirus GII	ORF1_2	ZooWVU	719003.902673721	719003.902673721	1438.00780534744	16382060.146022	32764.1202920439	100	284.417839050292	43.7091064453126	NTC above threshold	NA	NA	NA
A02-0492.a2	A02-0492	05/02/2022 9:00	05/04/2022 9:00	Routine Surveillance	NA	Pass	NorthHighSt-02	SARS-CoV-2	N2	ZooWVU	45777.41884125	22888.709420625	NA	NA	NA	100	0	270.6240892	yes	-0.352343479257734	FALSE	FALSE
M03-0495.a4	M03-0495	12/09/2024 08:00 AM	12/10/2024 08:00 AM	Routine Surveillance	0.313	Pass	ManningtonWWTP-01	Influenza Virus B	NEP/NS1	ZooWVU	528538.019657134	528538.019657134	48445.2813617904	626229.461861967	57399.5840386771	100	296.636581420898	795.1513671875	NTC above threshold	NA	NA	NA
A01-0030.a1	A01-0030	09/08/2021 0:00	09/08/2021 23:55	Routine Surveillance	8.923	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	156635.43820625	156635.43820625	324.109084187738	5290708.62699408	10947.5017112111	100	0	26404.5044	yes	NA	NA	NA
A02-1386.a5	A02-1386	09/13/2025 01:30 PM	09/15/2025 09:30 PM	Mass-Gathering Event	NA	Pass	StadiumNE-01	SARS-CoV-2	SC2	ZooWVU	39383.751153946	78767.5023078919	NA	NA	NA	100	0	NA	yes	-0.294574687955676	FALSE	FALSE
A04-0437.a2	A04-0437	06/07/2023 0:00	06/08/2023 0:00	Routine Surveillance	0.445	Pass	CheatLakeWWTP-01	SARS-CoV-2	N2	ZooWVU	328071.155563125	328071.155563125	16403.5577781562	552638.305676193	27631.9152838096	100	0	769.593582	yes	-0.351961710780321	FALSE	FALSE
O01-0317.a10	O01-0317	06/23/2025 08:00 AM	06/24/2025 08:00 AM	Routine Surveillance	1.87	Pass	GraftonWWTP-01	Respiratory Syncitial Virus, Bovine	Other	ZooWVU	16722.2015373409	16722.2015373409	275.443939010721	118371.72728314	1949.78961098897	100	0	NA	yes	NA	NA	NA
A02-0694.a3	A02-0694	10/08/2022 9:00	10/10/2022 9:00	Routine Surveillance	NA	Pass	Seneca-01	Human	RNase P	ZooWVU	120838.32534	60419.16267	12746.6587911392	NA	NA	100	NA	NA	Missing controls: all	NA	NA	NA
Q01-0635.a1	Q01-0635	10/08/2025 08:00 AM	10/13/2025 08:00 AM	Routine Surveillance	0.269	Pass	MadisonWWTP-01	Influenza Virus B	NEP/NS1	ZooWVU	4110.94164010137	4110.94164010137	90.2511885861991	4186.0702907473	91.9005552304566	100	8.36214244365692	NA	yes	-0.251359098218069	FALSE	FALSE
A02-0159.a2	A02-0159	10/04/2021 10:00	10/06/2021 9:00	Routine Surveillance	NA	Pass	OaklandE-02	SARS-CoV-2	N2	ZooWVU	12532.77249125	6266.386245625	726.958961209397	NA	NA	100	0	41549.87792	yes	-0.269653438955134	FALSE	FALSE
A04-0231.a3	A04-0231	12/14/2022 8:00	12/15/2022 8:00	Routine Surveillance	0.542	Pass	CheatLakeWWTP-01	Human	RNase P	ZooWVU	137877.65575125	137877.65575125	6893.8827875625	282882.513616678	14144.1256808339	100	NA	NA	Missing controls: HEX	NA	NA	NA
A02-1148.a3	A02-1148	03/22/2023 9:00	03/24/2023 9:00	Routine Surveillance	NA	Pass	Evansdale-01	Human	RNase P	ZooWVU	76068.233548125	38034.1167740625	NA	NA	NA	100	NA	NA	Missing controls: HEX	NA	NA	NA
N03-0171.a3	N03-0171	08/14/2022 10:30	08/15/2022 7:30	Routine Surveillance	0.49258	Pass	SalemWWTP-01	Human	RNase P	ZooWVU	1138	1138	61.4139233675121	2121.9344393764	114.51346138027	100	NA	NA	Missing controls: HEX	NA	NA	NA
Q01-0061.a1	Q01-0061	07/04/2022 8:00	07/05/2022 8:00	Routine Surveillance	0.306	Pass	MadisonWWTP-01	SARS-CoV-2	N1	ZooWVU	6336.6662025	6336.6662025	139.11451597146	7339.98516053929	161.141276850478	100	0	4576.043702	yes	NA	NA	NA
R02-0556.a4	R02-0556	09/21/2025 08:00 AM	09/22/2025 08:00 AM	Routine Surveillance	2.08	Pass	ElkinsWWTP-01	Influenza Virus B	NEP/NS1	ZooWVU	85	85	0.646093037397385	669.260488	5.08711225296443	100	0	NA	yes	-0.457197340604488	FALSE	FALSE
A04-0479.a1	A04-0479	08/08/2023 8:00	08/09/2023 8:00	Routine Surveillance	0.586	Pass	CheatLakeWWTP-01	SARS-CoV-2	N1	ZooWVU	953951.90844375	953951.90844375	47697.5954221875	2116104.06893285	105805.203446642	100	0	NA	yes	NA	NA	NA
Q01-0049.a2	Q01-0049	06/21/2022 8:00	06/22/2022 8:00	Routine Surveillance	0.296	Pass	MadisonWWTP-01	SARS-CoV-2	N2	ZooWVU	135159.717946875	135159.717946875	2967.28250157794	151443.944582331	3324.78473287225	100	0	3544.161224	yes	-0.512494862294084	FALSE	FALSE
R02-0021.a3	R02-0021	06/01/2022 6:00	06/02/2022 6:00	Routine Surveillance	1.03	Pass	ElkinsWWTP-01	Human	RNase P	ZooWVU	1741	1741	13.23350562481	6788.1107743	51.5970718630283	100	NA	NA	Missing controls: HEX	NA	NA	NA
G01-0363.a1	G01-0363	06/25/2023 8:00	06/26/2023 8:00	Routine Surveillance	1.04	Pass	KeyserWWTP-01	SARS-CoV-2	N1	ZooWVU	30882.173176875	30882.173176875	378.087330764875	121577.754652093	1488.46418526069	100	0	11.0435617	yes	NA	NA	NA
A02-0897.a3	A02-0897	01/09/2023 9:00	01/11/2023 9:00	Routine Surveillance	NA	Pass	Evansdale-01	Human	RNase P	ZooWVU	104382.54340125	52191.271700625	NA	NA	NA	100	NA	NA	Missing controls: HEX	NA	NA	NA
E02-0099.a1	E02-0099	01/14/2022 8:00	01/15/2022 8:00	Routine Surveillance	0.261	Pass	AthensWWTP-01	SARS-CoV-2	N1	ZooWVU	241420.832875	241420.832875	10097.0653649101	238521.853928045	9975.81990497889	100	0	6466.830444	yes	NA	NA	NA
V01-0021.a3	V01-0021	03/24/2025 07:00 AM	03/25/2025 07:00 AM	Routine Surveillance	3.6	Pass	MoorefieldWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	2000	2000	56.980056980057	27254.952	776.494358974359	100	0	NA	yes	0.490386203819684	FALSE	FALSE
Q01-0151.a3	Q01-0151	10/19/2022 8:00	10/20/2022 8:00	Routine Surveillance	0.27	Pass	MadisonWWTP-01	Human	RNase P	ZooWVU	16907.574661875	16907.574661875	371.187149547201	17280.5675942182	379.375797897217	100	NA	NA	Missing controls: HEX	NA	NA	NA
O01-1004.a5	O01-1004	03/15/2026 08:00 AM	03/16/2026 08:00 AM	Routine Surveillance	1.71	Pass	GraftonWWTP-01	SARS-CoV-2	SC2	ZooWVU	450	450	7.41228792620656	2912.872995	47.9801185142481	100	0	641.938934326172	yes	-0.0457041747735816	FALSE	FALSE
L01-0575.a1	L01-0575	06/02/2024 08:00 AM	06/03/2024 08:00 AM	Routine Surveillance	0.172	Pass	WestUnionWWTP-01	Respiratory Syncitial Virus, Human	G	ZooWVU	1537	1537	272.517730496454	1000.72612924	177.433710858156	100	0	NA	yes	-0.137625657089997	FALSE	FALSE
M03-0073.a2	M03-0073	05/11/2022 11:00	05/12/2022 11:00	Routine Surveillance	0.187	Pass	ManningtonWWTP-01	SARS-CoV-2	N2	ZooWVU	95650.455975	95650.455975	8767.22786205316	67708.2480072847	6206.0722279821	100	0	315.3596162	yes	-0.356880847912101	FALSE	FALSE
