Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
H01-0071	WWTP	MoundsvilleWWTP-01	G	Marshall	Sample	Composite		01/13/2022 08:15 AM	01/21/2022	01/12/2022 08:00 AM	01/13/2022 08:00 AM	AJ	1/24/22		7.15			Fail: Missing Required Data	SARS-CoV-2 N1	830266.3887	SARS-CoV-2 N2	876705.9946		Processing	Complete
R01-0015	WWTP	HuttonsvilleWWTP-01	Sample	Randolph	Sample	Composite		04/27/2022 08:45 AM	05/04/2022	04/26/2022 09:00 AM	04/27/2022 08:30 AM	AJ	5/5/22					Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0	0.156	Processing	Complete
A01-0166	WWTP	StarCityWWTP-01	G	Monongalia	Sample	Composite		02/01/2022 12:00 AM	02/04/2022	01/31/2022 12:00 AM	02/01/2022 12:00 AM	AJ	2/10/22		7.15			Pass	SARS-CoV-2 N1	548522.383	SARS-CoV-2 N2	548522.383	8.2	Processing	Complete
S01-0042	WWTP	FollansbeeWWTP-01	S01-0042	Brooke	Sample	Composite		03/29/2022 06:07 AM	03/30/2022	03/28/2022 06:00 AM	03/29/2022 06:00 AM	AJ	3/31/22		6.75			Pass	SARS-CoV-2 N1	8953.273036	SARS-CoV-2 N2	8953.273036	0.799	Processing	Complete
E01-0017	WWTP	PrincetonWWTP-01	Sample	Mercer	Sample	Composite	TT	12/08/2021 08:00 AM	12/09/2021	12/07/2021 08:00 AM	12/08/2021 08:00 AM	AJ	12/14/21		7.22			Pass	SARS-CoV-2 N1	303598.1637	SARS-CoV-2 N2	48252.59931	1.637	Processing	Complete
H01-0036	WWTP	MoundsvilleWWTP-01	Sample	Marshall	Sample	Composite		11/12/2021 08:15 AM	11/19/2021	11/11/2021 08:00 AM	11/12/2021 08:00 AM	AJ	12/3/21		6.84			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	46998.26382	1.5	Processing	Complete
C01-0025	WWTP	WheelingWWTP-01	Sample	Ohio	Sample	Composite	OR	10/18/2021 07:00 AM	10/27/2021	10/17/2021 07:00 AM	10/18/2021 07:00 AM	JL	11/1/21		6.89			Pass	SARS-CoV-2 N1		SARS-CoV-2 N2			Processing	Confirming
A03-0120	K-12	MorgantownHS-01	Sample	Monongalia	Sample	Composite	GZ	12/03/2021 01:25 PM	12/14/2021	12/03/2021 06:00 AM	12/03/2021 02:00 PM	AJ	12/14/21		8.9			Pass	SARS-CoV-2 N1	30611.14892	SARS-CoV-2 N2	33163.09087		Rejected: No Flow	Complete
G01-0123	WWTP	KeyserWWTP-01	G01-0123	Mineral	Sample	Composite		04/09/2022 08:00 AM	04/14/2022	04/08/2022 09:00 AM	04/09/2022 08:00 AM	JL	4/19/22		7.15			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	8552.548438	2.06	Processing	Complete
G01-0158	WWTP	KeyserWWTP-01	Sample	Mineral	Sample	Composite		05/07/2022 08:45 AM	05/12/2022	05/06/2022 09:00 AM	05/07/2022 08:00 AM	AJ	5/16/22					Pass	SARS-CoV-2 N1	3532.237401	SARS-CoV-2 N2	7064.772611	4.79	Processing	Complete
N02-0062	WWTP	ClarksburgWWTP-01	N02-0062	Harrison	Sample	Composite		04/21/2022 07:00 AM	04/26/2022	04/20/2022 07:00 AM	04/21/2022 07:00 AM	JL	4/27/22	NO FLOW DATA	7.19			Pass	SARS-CoV-2 N1	2761.07687	SARS-CoV-2 N2	5522.335293		Processing	Complete
