extraction_batch_comment	extraction_batch_id	extraction_batch_record_version	extraction_date	extraction_eluant	extraction_input_ul	extraction_machine	extraction_method	extraction_method_lot_id	extraction_output_ul	extraction_run_by
	ME136	1.0.0	5/17/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	MVS
	ME137	1.0.0	5/19/21	Kit buffer	200	Sorvall Micro	Qiagen QiaAMP Viral Mini-RNA Kit		60	KD
	EP0	1.0.0	6/4/21	Kit buffer	400		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	
	EP0.1	1.0.0	7/7/21	Kit buffer	400		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	JL
	EP0.1	1.0.0	7/7/21	Kit buffer	400		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	
	EP0.2	1.0.0	7/9/21	Kit buffer	400		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	JL
	EP0.3	1.0.0	7/30/21	Kit buffer	400		Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit		50	JL
	EP0.4	1.0.0	8/13/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP1	1.0.0	8/16/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP1.2	1.0.0	8/18/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP1.4	1.0.0	8/20/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP2	1.0.0	8/23/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP3	1.0.0	8/24/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP4	1.0.0	8/25/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP5	1.0.0	8/27/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP6	1.0.0	8/30/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP7	1.0.0	9/2/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP7	1.0.0	9/2/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	
	EP8	1.0.0	9/3/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP9	1.0.0	9/8/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP10	1.0.0	9/8/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2102028	50	JL
	EP11	1.0.0	9/13/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2105033	50	JL
	EP12	1.0.0	9/15/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2105033	50	JL
	EP12	1.0.0	9/17/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2105033	50	JL
	EP16	1.0.0	9/24/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	XXXXXX	50	JL
	EP17	1.0.0	9/27/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2105049	50	JL
	EP18	1.0.0	9/29/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2105049	50	JL
	EP19	1.0.0	10/1/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108052	50	JL
	EP20	1.0.0	10/5/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108052	50	JL
	EP21	1.0.0	10/7/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108052	50	JL
	EP22	1.0.0	10/8/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108052	50	JL
	EP23	1.0.0	10/11/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP24	1.0.0	10/13/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP25	1.0.0	10/15/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP26	1.0.0	10/18/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP27	1.0.0	10/20/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP28	1.0.0	10/25/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP29	1.0.0	10/27/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP30	1.0.0	10/28/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP30	1.0.0	10/28/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	LW
	EP31	1.0.0	11/2/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	21108255	50	JL
	EP32	1.0.0	11/3/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	21108255	50	JL
	EP33	1.0.0	11/5/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	21108255	50	JL
	EP34	1.0.0	11/11/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP35	1.0.0	11/12/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	AJ
	EP35	1.0.0	11/15/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP36	1.0.0	11/16/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	AJ
