Sample ID	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Collection Method	Department	Location	Sample Composite Start	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	population_served
A01-0064	54807.41292	13690.59317		WWTP	StarCityWWTP-01	10/16/21 0:00	11.183				
B01-0063	1603.952041	1603.952041		WWTP	CharlestonWWTP-01	11/8/21 7:00					
A02-0014	33470.65294	32182.49166		WVU Morgantown	NorthHighSt-02 (MUB)	8/14/21 9:00					
A02-0165	0	0		WVU Morgantown	Evansdale-01	10/9/21 9:00					
G02-0001	22083.34848	4415.439703		WVU Keyser	PotomacState-01	10/6/21 10:35					
A1017	5520	11070		WWTP	StarCityWWTP-01	3/29/21 12:00	10.313				
H01-0005	114796.7446	17064.01542		WWTP	MoundsvilleWWTP-01	10/2/21 8:00					
A03-0200	7958.182152	10611.24539		K-12	NorthES-01	11/15/21 6:00					
A02-0214	1700	5100		WVU Morgantown	HonorsSummit-01 (MUB)	11/8/21 10:00					
A01-0032	101988.9289	121158.2518		WWTP	StarCityWWTP-01	9/9/21 0:00	9.799				
A0244	66502.8	71240.4		WWTP	StarCityWWTP-01	11/16/20 0:00	6.501				
A01-0021				WWTP	StarCityWWTP-01						
H01-0038	2653.735033	10615.94876		WWTP	MoundsvilleWWTP-01	11/13/21 8:00	1.4				
G01-0020				WWTP	KeyserWWTP-01	11/22/21 9:00	0.785				
A1063	4037.5	4037.5		WWTP	StarCityWWTP-01	6/3/21 0:00	8.332				
A02-0128	18873.62272	28315.77912		WVU Morgantown	Evansdale-01	9/25/21 9:15					
A02-0217	4636.06853	17003.12242		WVU Morgantown	HonorsSummit-01 (MUB)	11/10/21 9:58					
A03-0167				K-12	SuncrestES-01						
A02-0175	2460.750965	19692.79416		WVU Morgantown	NorthHighSt-02 (MUB)	10/16/21 9:00					
G02-0008				WVU Keyser	PotomacState-01	10/19/21 9:30					
C01-0037	63799.74186	81070.8943		WWTP	WheelingWWTP-01	11/10/21 7:00					
A01-0033	119265.9634	115800.9648		WWTP	StarCityWWTP-01	9/11/21 0:00	8.33				
A01-0003	25285.73	32876.44184		WWTP	StarCityWWTP-01	8/11/21 0:00	10.042				
K01-0013	49320.397	45795.58678		WWTP	ParkersburgWWTP-01	1/5/22 6:29	6.316				
A01-0100	54942.23714	27462.11741		WWTP	StarCityWWTP-01	11/27/21 0:00	6.235				
A1099	11613.75	15485		WWTP	StarCityWWTP-01	7/25/21 0:00	6.52				
C01-0051	216194.9006	234479.3084		WWTP	WheelingWWTP-01	12/2/21 7:00	6.043				
A02-0058	5361.347646	5361.347646		WVU Morgantown	CollegePark-02	8/25/21 10:03					
A0231	122496	127578		WWTP	StarCityWWTP-01	1/31/21 0:00	9.189				
A01-0063	49627.80446	17358.52875		WWTP	StarCityWWTP-01	10/14/21 0:00	6.95				
A03-0120	30611.14892	33163.09087		K-12	MorgantownHS-01	12/3/21 6:00					
B01-0020	16187.77864	18211.98829		WWTP	CharlestonWWTP-01	10/12/21 7:00	6.426				
A02-0118	0	0		WVU Morgantown	CollegePark-02	9/18/21 9:00					
C01-0016	35385.10725	66198.29983		WWTP	WheelingWWTP-01	10/6/21 7:00					
A03-0056	271053.0543	263975.4224		K-12	NorthES-01	10/27/21 6:00					
H01-0048				WWTP	MoundsvilleWWTP-01	11/22/21 8:00	1.3				
G02-0021				WVU Keyser	PotomacState-01	11/5/21 10:30					
A0216	161664	173496		WWTP	StarCityWWTP-01	1/10/21 0:00	7.624				
E02-0001	9562.5	3825		WWTP	AthensWWTP-01	11/2/21 8:00					
A02-0151	0	1357.84701		WVU Morgantown	NorthHighSt-02 (MUB)	8/9/21 9:00					
A03-0186				K-12	MountainviewES-01						
A02-0212	6587.5	3187.5		WVU Morgantown	HonorsSummit-01 (MUB)	11/6/21 9:00					
A1100	0	0		WWTP	StarCityWWTP-01	7/29/21 0:00	7.981				
A03-0013	1580.105629	3160.289787		K-12	SuncrestES-01	9/29/21 6:00					
A1075	0	0		WWTP	StarCityWWTP-01	6/21/21 0:00	9.229				
A03-0170				K-12	MountainviewES-01						
A03-0105	2345.566931	7037.094953		K-12	MountainviewES-01	10/15/21 6:00					
A02-0001	0	0		WVU Morgantown	Evansdale-01	8/11/21 9:00					
A03-0128	0	0		K-12	MorgantownHS-01	12/6/21 6:00					
A01-0079	34212.5	53550		WWTP	StarCityWWTP-01	11/2/21 0:00	7.19				
I01-0003	105735.9129	102475.8196		WWTP	WarmSpringsWWTP-01	10/27/21 7:00					
A02-0006	24727.27346	18906.8917		WVU Morgantown	OaklandE-02	8/11/21 9:45					
A03-0188				K-12	MorgantownHS-01						
A1048	6510	6510		WWTP	StarCityWWTP-01	5/13/21 12:00	9.878				
A03-0137	0	0		K-12	NorthES-01	12/17/21 6:00					
A01-0141	9965.15058	13287.3944		WWTP	StarCityWWTP-01	1/1/22 0:00	17.7				
A03-0085	1331076	203602.1805		K-12	MountainviewES-01	1/10/22 6:00					
A01-0148	84674.75921	106986.0546		WWTP	StarCityWWTP-01	1/9/22 0:00	15.4				
C01-0019	27241.59449	25294.78163		WWTP	WheelingWWTP-01	10/12/21 7:00					
A02-0088	125459.3676	34484.016		WVU Morgantown	HonorsSummit-01 (MUB)	9/6/21 8:38					
A0206	51072	62016		WWTP	StarCityWWTP-01	12/31/20 0:00	12.743				
A02-0162	1539.51589	6158.687994		WVU Morgantown	CollegePark-02	10/9/21 9:00					
A03-0089	2802.244322	2802.244322		K-12	SuncrestES-01	11/10/21 6:00					
A01-0138	18102.08928	28967.0945		WWTP	StarCityWWTP-01	12/28/21 0:00	16.3				
A1109	4726.25	4726.25		WWTP	StarCityWWTP-01	7/27/21 0:00	7.447				
E02-0091	0	0		WWTP	AthensWWTP-01	1/19/22 8:00	0.106				
B01-0057	14025	3400		WWTP	CharlestonWWTP-01	11/4/21 7:00					
A01-0013	24409.90284	22531.33684		WWTP	StarCityWWTP-01	8/23/21 0:00	9.509				
K01-0012	29830.437	3727.644179		WWTP	ParkersburgWWTP-01	12/14/21 6:20	4.913				
A01-0083	151512.5	110925		WWTP	StarCityWWTP-01	11/7/21 0:00	7.118				
A02-0184				WVU Morgantown	NorthHighSt-02 (MUB)	10/20/21 10:15					
A0103	12420	12420		WWTP	StarCityWWTP-01	11/4/20 0:00	6.95				
A03-0147	0	0		K-12	SuncrestES-01	12/20/21 6:00					
A0250	45714	54856.8		WWTP	StarCityWWTP-01	11/12/20 0:00	6.315				
E01-0005	36041.60815	43771.5739		WWTP	PrincetonWWTP-01	11/3/21 8:00					
A03-0159	0	0		K-12	SuncrestES-01	1/5/22 6:00					
